node,node_label
605,"{'type': 'person', 'role': 'Student'}"
606,"{'type': 'person', 'role': 'Student'}"
607,"{'type': 'person', 'role': 'Student'}"
164,"{'type': 'person', 'role': 'TA'}"
161,"{'type': 'person', 'role': 'Student'}"
327,"{'type': 'person', 'role': 'Student'}"
357,"{'type': 'person', 'role': 'Student'}"
292,"{'type': 'person', 'role': 'Student'}"
608,"{'type': 'person', 'role': 'Student'}"
609,"{'type': 'person', 'role': 'Student'}"
610,"{'type': 'person', 'role': 'Student'}"
486,"{'type': 'person', 'role': 'Student'}"
611,"{'type': 'person', 'role': 'Student'}"
487,"{'type': 'person', 'role': 'Student'}"
612,"{'type': 'person', 'role': 'Student'}"
92,"{'type': 'person', 'role': 'Student'}"
150,"{'type': 'person', 'role': 'Student'}"
488,"{'type': 'person', 'role': 'TA'}"
613,"{'type': 'person', 'role': 'Student'}"
489,"{'type': 'person', 'role': 'Student'}"
82,"{'type': 'person', 'role': 'Student'}"
614,"{'type': 'person', 'role': 'Student'}"
615,"{'type': 'person', 'role': 'Student'}"
616,"{'type': 'person', 'role': 'Student'}"
617,"{'type': 'person', 'role': 'Student'}"
618,"{'type': 'person', 'role': 'Student'}"
619,"{'type': 'person', 'role': 'Student'}"
188,"{'type': 'person', 'role': 'Student'}"
620,"{'type': 'person', 'role': 'Student'}"
621,"{'type': 'person', 'role': 'Student'}"
622,"{'type': 'person', 'role': 'Student'}"
63,"{'type': 'person', 'role': 'Student'}"
351,"{'type': 'person', 'role': 'Student'}"
623,"{'type': 'person', 'role': 'Student'}"
31,"{'type': 'person', 'role': 'Student'}"
624,"{'type': 'person', 'role': 'Student'}"
625,"{'type': 'person', 'role': 'Student'}"
626,"{'type': 'person', 'role': 'Student'}"
492,"{'type': 'person', 'role': 'Student'}"
342,"{'type': 'person', 'role': 'Student'}"
493,"{'type': 'person', 'role': 'Student'}"
627,"{'type': 'person', 'role': 'Student'}"
187,"{'type': 'person', 'role': 'Student'}"
483,"{'type': 'person', 'role': 'Student'}"
628,"{'type': 'person', 'role': 'Student'}"
10,"{'type': 'person', 'role': 'Student'}"
629,"{'type': 'person', 'role': 'Student'}"
630,"{'type': 'person', 'role': 'Student'}"
631,"{'type': 'person', 'role': 'Student'}"
495,"{'type': 'person', 'role': 'Student'}"
632,"{'type': 'person', 'role': 'Student'}"
496,"{'type': 'person', 'role': 'Student'}"
328,"{'type': 'person', 'role': 'Student'}"
497,"{'type': 'person', 'role': 'Student'}"
633,"{'type': 'person', 'role': 'Student'}"
249,"{'type': 'person', 'role': 'Student'}"
634,"{'type': 'person', 'role': 'Student'}"
498,"{'type': 'person', 'role': 'Student'}"
635,"{'type': 'person', 'role': 'Student'}"
636,"{'type': 'person', 'role': 'Student'}"
225,"{'type': 'person', 'role': 'Student'}"
324,"{'type': 'person', 'role': 'Student'}"
637,"{'type': 'person', 'role': 'Student'}"
212,"{'type': 'person', 'role': 'Student'}"
638,"{'type': 'person', 'role': 'Student'}"
499,"{'type': 'person', 'role': 'Student'}"
472,"{'type': 'person', 'role': 'Student'}"
639,"{'type': 'person', 'role': 'Student'}"
640,"{'type': 'person', 'role': 'Student'}"
500,"{'type': 'person', 'role': 'Student'}"
502,"{'type': 'person', 'role': 'Student'}"
641,"{'type': 'person', 'role': 'Student'}"
642,"{'type': 'person', 'role': 'Student'}"
503,"{'type': 'person', 'role': 'Student'}"
643,"{'type': 'person', 'role': 'Student'}"
435,"{'type': 'person', 'role': 'Student'}"
644,"{'type': 'person', 'role': 'Student'}"
645,"{'type': 'person', 'role': 'Student'}"
646,"{'type': 'person', 'role': 'Student'}"
330,"{'type': 'person', 'role': 'Student'}"
647,"{'type': 'person', 'role': 'Student'}"
648,"{'type': 'person', 'role': 'Student'}"
441,"{'type': 'person', 'role': 'Student'}"
355,"{'type': 'person', 'role': 'Student'}"
649,"{'type': 'person', 'role': 'Student'}"
508,"{'type': 'person', 'role': 'Student'}"
211,"{'type': 'person', 'role': 'Student'}"
650,"{'type': 'person', 'role': 'Student'}"
651,"{'type': 'person', 'role': 'Student'}"
400,"{'type': 'person', 'role': 'Student'}"
652,"{'type': 'person', 'role': 'Student'}"
653,"{'type': 'person', 'role': 'Student'}"
257,"{'type': 'person', 'role': 'Student'}"
510,"{'type': 'person', 'role': 'Student'}"
654,"{'type': 'person', 'role': 'Student'}"
5,"{'type': 'person', 'role': 'Student'}"
258,"{'type': 'person', 'role': 'Student'}"
511,"{'type': 'person', 'role': 'Student'}"
655,"{'type': 'person', 'role': 'Student'}"
656,"{'type': 'person', 'role': 'Student'}"
