node,data
75854946125015269690776709035646052519,"{'type': 'person', 'role': 'Student'}"
32257028701880952926874764698816734147,"{'type': 'person', 'role': 'Student'}"
198577503545578801442082863432953009824,"{'type': 'person', 'role': 'Student'}"
191765591010695004891716513354517374979,"{'type': 'person', 'role': 'Student'}"
142475842327728206987527947943031415365,"{'type': 'person', 'role': 'Student'}"
29936682767796862839964343909396498069,"{'type': 'person', 'role': 'Student'}"
292423548552196420580725423375892758732,"{'type': 'person', 'role': 'Student'}"
307041291113035625575560484892705380920,"{'type': 'person', 'role': 'Student'}"
193001530261412327177566422371598127845,"{'type': 'person', 'role': 'Student'}"
14185986680700073606878609417235801544,"{'type': 'person', 'role': 'Student'}"
177884932582829012882818339431254852373,"{'type': 'person', 'role': 'Student'}"
236964044674320100166190076863234481461,"{'type': 'person', 'role': 'Student'}"
118468559367754007834032634315779200802,"{'type': 'person', 'role': 'Student'}"
32769152282994462115097968667863090920,"{'type': 'person', 'role': 'Student'}"
166781727650505191914011542414044208161,"{'type': 'person', 'role': 'Student'}"
282214174269604572285737938437765597308,"{'type': 'person', 'role': 'Student'}"
125831475142104118841167596917535727369,"{'type': 'person', 'role': 'Student'}"
8739312492607977839509561021486116942,"{'type': 'person', 'role': 'Student'}"
301404480614492085242838111690568286605,"{'type': 'person', 'role': 'Student'}"
68097956052202351707609823926021123903,"{'type': 'person', 'role': 'Student'}"
108375949644053805444461862858096575429,"{'type': 'person', 'role': 'Student'}"
223494939312142761391103878814441298441,"{'type': 'person', 'role': 'Student'}"
64013925169078585243889559889563888838,"{'type': 'person', 'role': 'Student'}"
277656830372749361549898847761764876878,"{'type': 'person', 'role': 'Student'}"
163545208991052838802583634587042138882,"{'type': 'person', 'role': 'Student'}"
1192932762009743486,"{'type': 'channel', 'name': 'general'}"
107348485964263613250601489243388282254,"{'type': 'person', 'role': 'Student'}"
1207386075228799026,"{'type': 'thread', 'name': 'where can we find the answers for'}"
1200159744493633537,"{'type': 'thread', 'name': 'HW Time'}"
1195854568156827749,"{'type': 'thread', 'name': 'Learning Suite Down'}"
1195013724780625920,"{'type': 'thread', 'name': ""I thought I got it working through kde's""}"
1194414351092826112,"{'type': 'thread', 'name': 'Quick question would it be better to use'}"
1194341712940773417,"{'type': 'thread', 'name': 'When I went to rent the textbook from'}"
1220488126301077594,"{'type': 'thread', 'name': '> `Bad owner or permissions on C:'}"
1194024142513639434,"{'type': 'channel', 'name': '01-hw-1-setup-and-intro'}"
322300825047906864332213491686770482134,"{'type': 'person', 'role': 'Student'}"
46400740369933601652373685570626106037,"{'type': 'person', 'role': 'Student'}"
1196684414453829733,"{'type': 'thread', 'name': 'HW1 suggestions'}"
1196597844212199424,"{'type': 'thread', 'name': 'Question 42'}"
1196557849795494060,"{'type': 'thread', 'name': 'Question 48'}"
1196553487224414380,"{'type': 'thread', 'name': ""I believe there is a typo on HW 1""}"
1196547541538459658,"{'type': 'thread', 'name': 'So for the ""Strings, I/O, and'}"
1196284848449536061,"{'type': 'thread', 'name': ""It didn't populate the default thread name so I'm naming the thread this instead""}"
1195810735192813608,"{'type': 'thread', 'name': 'memcmp()'}"
1195832079947141223,"{'type': 'thread', 'name': ""I'm confused on question 24. The man""}"
1194420647527465060,"{'type': 'thread', 'name': 'class repo path should be ""kentseamons/'}"
1195436174332936334,"{'type': 'thread', 'name': 'For the “remote compilation and'}"
1195125649095012433,"{'type': 'thread', 'name': 'Two questions. One more general, then'}"
1195051574406434816,"{'type': 'thread', 'name': ""I can't log into https://openvpn.cs.byu.""}"
1194722955104637040,"{'type': 'thread', 'name': 'Trying to get a better understanding of'}"
1194423279310622832,"{'type': 'thread', 'name': 'Should we expect to need to update from'}"
1194523745000378389,"{'type': 'thread', 'name': 'After cloning the Class repo, I am'}"
1194451538672881744,"{'type': 'thread', 'name': 'This needs a thread name apparently so I hope this will do'}"
1194423898356338809,"{'type': 'thread', 'name': ""I'm confused about where to find all""}"
1194420156621934592,"{'type': 'thread', 'name': 'Anyone getting this when trying to do'}"
1194024189657628884,"{'type': 'channel', 'name': '02-hw-2-byu-bandit'}"
1202351746761109555,"{'type': 'thread', 'name': 'Is there anyone else who is behind on'}"
1199123545809244220,"{'type': 'thread', 'name': 'tar error'}"
1198034000686620732,"{'type': 'thread', 'name': 'Level 1'}"
1198134356502388816,"{'type': 'thread', 'name': 'Real quick I can’t figure out level 9'}"
1197985830044717238,"{'type': 'thread', 'name': 'Level 4 dig question'}"
1197980932460785675,"{'type': 'thread', 'name': 'I am one of the many stuck on level 5'}"
1197254567142883438,"{'type': 'thread', 'name': 'Does your command pass the tester?'}"
1194024243554431118,"{'type': 'channel', 'name': '03-hw-3-fork-exec'}"
1200899047930728448,"{'type': 'thread', 'name': 'so like fork? or would it be user, pid,'}"
1200497108273344512,"{'type': 'thread', 'name': 'If anyone has ideas on how to set up the'}"
1200496340879282296,"{'type': 'thread', 'name': 'anybody have hints on how to tackle'}"
1199756891128082502,"{'type': 'thread', 'name': 'Did you list the pids for both the'}"
1194024309648265377,"{'type': 'channel', 'name': '05-hw-4-signals'}"
1205294745551638558,"{'type': 'thread', 'name': 'Custom function'}"
1205176309932621834,"{'type': 'thread', 'name': 'How can you tell if Scenario 3 works in'}"
1204864137033814076,"{'type': 'thread', 'name': 'Scenario 8'}"
1204262568445878332,"{'type': 'thread', 'name': 'Any tips for scenario 8? I can get the 6'}"
1200877403879264347,"{'type': 'thread', 'name': 'is there a kind soul who has worked'}"
1194024338177937451,"{'type': 'channel', 'name': '07-hw-5-sockets'}"
1213572294824304730,"{'type': 'thread', 'name': 'q25 extra characters'}"
1213371852307562506,"{'type': 'thread', 'name': 'question 25 - connecting'}"
1213347335292063744,"{'type': 'thread', 'name': 'When I run ""nc -1 1025"" just before'}"
1213227521072435260,"{'type': 'thread', 'name': 'Lab machine issues'}"
1213236992658378762,"{'type': 'thread', 'name': 'Was the key fixed for question 22? I'}"
1212912634983223356,"{'type': 'thread', 'name': ""I'm now having difficulty getting all""}"
1211893420180897812,"{'type': 'thread', 'name': 'sha1sum'}"
1194024406561869896,"{'type': 'channel', 'name': '09-hw-6-http-cgi-concurrency'}"
1219405279662440498,"{'type': 'thread', 'name': 'Process vs thread vs threadpool'}"
1220187088834793544,"{'type': 'thread', 'name': 'A call to main? As long as your main is'}"
1194024587944546386,"{'type': 'channel', 'name': '11-hw-7-openmp-and-io-multiplexing'}"
1194024631804362832,"{'type': 'channel', 'name': '13-hw-8-virtual-memory'}"
1194024836163457154,"{'type': 'channel', 'name': '04-shell-lab-1-pipelines-and-redirection'}"
1205647344306098256,"{'type': 'thread', 'name': 'Diagram of multiple pipes and children processes'}"
1199087248814116864,"{'type': 'thread', 'name': 'How to structure commands'}"
1204964746860695622,"{'type': 'thread', 'name': 'Grading question'}"
1205028545026326578,"{'type': 'thread', 'name': 'Yep, it pauses when I run that command'}"
1205026668012634122,"{'type': 'thread', 'name': 'Should be able to do something like'}"
1205006444999741490,"{'type': 'thread', 'name': 'Did anyone else get warnings that say to'}"
1204318494271733770,"{'type': 'thread', 'name': 'I’m getting bad descriptor errors'}"
1204277594137174067,"{'type': 'thread', 'name': 'What does the autograder say? It may be'}"
1204149686319980575,"{'type': 'thread', 'name': 'The Parseargs part of the README tells'}"
1203874816432668712,"{'type': 'thread', 'name': 'Parent actions'}"
1203407171321208842,"{'type': 'thread', 'name': 'Scope Question'}"
1203386260551508040,"{'type': 'thread', 'name': 'Odd, how have you verified that? Have'}"
1202414529393328178,"{'type': 'thread', 'name': 'Initialize char * s'}"
1202718326657126462,"{'type': 'thread', 'name': 'Operation Not Permitted'}"
1202775982612946944,"{'type': 'thread', 'name': 'open problems'}"
1202387094480097332,"{'type': 'thread', 'name': 'Anybody want to get together tomorrow or'}"
1200340670859186226,"{'type': 'thread', 'name': 'The link to the lab 1 description on LS'}"
1194024887996653569,"{'type': 'channel', 'name': '06-shell-lab-2-signals-and-job-control'}"
1207894039689695242,"{'type': 'thread', 'name': 'just get the top job using maxjid'}"
1207943283821649970,"{'type': 'thread', 'name': 'try killpg(-pid, sigcont), that is'}"
1207838131265740851,"{'type': 'thread', 'name': 'Checkpoint2 SegFault'}"
1207833670258401290,"{'type': 'thread', 'name': 'Are you retrieving the job and then'}"
1207187760377503765,"{'type': 'thread', 'name': 'Does anyone know which variable to use'}"
1202490573643055114,"{'type': 'thread', 'name': 'the closest thing I can think of is bg'}"
1202484130416295976,"{'type': 'thread', 'name': 'umm, it still passes, but does anyone'}"
1194024960109334618,"{'type': 'channel', 'name': '08-socket-treasure-hunt'}"
1214605506404950087,"{'type': 'thread', 'name': 'two sendto and two recvfrom calls'}"
1216099203588296764,"{'type': 'thread', 'name': 'Buffer overflow problem'}"
1216832390199251086,"{'type': 'thread', 'name': 'Crashing in the routine likely means a'}"
1217617037921353748,"{'type': 'thread', 'name': ""I tried to use that but it's actually""}"
1194025010621321226,"{'type': 'channel', 'name': '10-http-proxy-lab-1-threadpool'}"
1222691765992165476,"{'type': 'thread', 'name': 'Nevermind'}"
1222315019245457588,"{'type': 'thread', 'name': 'This one.'}"
1223034695189663835,"{'type': 'thread', 'name': 'CGI missing'}"
1223301079186276423,"{'type': 'thread', 'name': 'seg fault help'}"
1223486598696534128,"{'type': 'thread', 'name': 'failing image tests'}"
1223783705324027955,"{'type': 'thread', 'name': 'checkpoint 4 recv'}"
1194025059304612003,"{'type': 'channel', 'name': '12-http-proxy-lab-2-io-multiplexing'}"
1194025134013550693,"{'type': 'channel', 'name': 'exams'}"
1194025159582031882,"{'type': 'channel', 'name': 'random'}"
1195115142573203696,"{'type': 'thread', 'name': 'Thread'}"
1194666445188104283,"{'type': 'channel', 'name': 'ta-hours'}"
1197600299662188706,"{'type': 'channel', 'name': 'announcements'}"
1197604168605646858,"{'type': 'thread', 'name': 'Thread Test'}"
1219381594012516404,"{'type': 'thread', 'name': 'Hw extended'}"
